,Airport,City,State,IATA,Latitude,Longitude,Acre
381,Pangborn Memorial Airport,Wenatchee,Washington,EAT,47.398056,-120.205833,665.0
382,Yakima Air Terminal,Yakima,Washington,YKM,46.5681,-120.5442,825.0
383,Yeager Airport,Charleston,West Virginia,CRW,38.3758,-81.5931,767.0
384,North Central West Virginia Airport,Clarksburg,West Virginia,CKB,39.2967,-80.2281,434.0
385,Tri-State Airport,Huntington,West Virginia,HTS,38.3669,-82.5586,1300.0
386,Greenbrier Valley Airport,Lewisburg,West Virginia,LWB,37.8583,-80.3994,472.0
387,Morgantown Municipal Airport,Morgantown,West Virginia,MGW,39.6428,-79.9164,494.0
388,Appleton International Airport,Appleton,Wisconsin,ATW,44.2581,-88.5192,1638.0
389,Chippewa Valley Regional Airport,Eau Claire,Wisconsin,EAU,44.8658,-91.4842,2384.0
390,Green Bay–Austin Straubel International Airport,Green Bay,Wisconsin,GRB,44.4847,-88.1297,2441.0
391,La Crosse Regional Airport,La Crosse,Wisconsin,LSE,43.8792,-91.2567,1380.0
392,Dane County Regional Airport,Madison,Wisconsin,MSN,43.07,-89.42,2384.0
393,General Mitchell International Airport,Milwaukee,Wisconsin,MKE,42.9273,-87.9017,2180.0
394,Central Wisconsin Airport,Mosinee,Wisconsin,CWA,44.7775,-89.666667,1800.0
395,Rhinelander-Oneida County Airport,Rhinelander,Wisconsin,RHI,45.6308,-89.4664,1259.0
396,Casper/Natrona County International Airport,Casper,Wyoming,CPR,42.9081,-106.4644,5150.0
397,Cheyenne Regional Airport,Cheyenne,Wyoming,CYS,41.1556,-104.8106,1060.0
398,Yellowstone Regional Airport,Cody,Wyoming,COD,44.5203,-109.0239,694.0
399,Gillette-Campbell County Airport,Gillette,Wyoming,GCC,44.3489,-105.5394,894.0
400,Jackson Hole Airport,Jackson,Wyoming,JAC,43.6072,-110.7378,533.0
401,Riverton Regional Airport,Riverton,Wyoming,RIW,43.0642,-108.4597,1250.0
402,Southwest Wyoming Regional Airport,Rock Springs,Wyoming,RKS,41.5942,-109.0653,1242.0
403,Sheridan County Airport,Sheridan,Wyoming,SHR,44.7692,-106.9803,1550.0
404,Boston Logan International Airport,,,,42.3631,-71.0064,2384.0
