,Airport,City,State,IATA,Latitude,Longitude,Acre
147,Abraham Lincoln Capital Airport,Springfield,Illinois,SPI,39.847,-89.668,2300.0
148,Evansville Regional Airport,Evansville,Indiana,EVV,38.0383,-87.5308,2384.0
149,Fort Wayne International Airport,Fort Wayne,Indiana,FWA,40.9783,-85.1953,3351.0
150,Indianapolis International Airport,Indianapolis,Indiana,IND,39.7172,-86.2944,2384.0
151,South Bend International Airport,South Bend,Indiana,SBN,41.7083,-86.3172,2200.0
152,The Eastern Iowa Airport,Cedar Rapids,Iowa,CID,41.8891,-91.7003,3288.0
153,Des Moines International Airport,Des Moines,Iowa,DSM,41.5339,-93.6631,2384.0
154,Dubuque Regional Airport,Dubuque,Iowa,DBQ,42.4019,-90.7094,1240.0
155,Sioux Gateway Airport,Sioux City,Iowa,SUX,42.4025,-96.3844,2460.0
156,Waterloo Regional Airport,Waterloo,Iowa,ALO,43.4608,-80.3786,2583.0
157,Garden City Regional Airport,Garden City,Kansas,GCK,37.9275,-100.7244,1848.0
158,Manhattan Regional Airport,Manhattan,Kansas,MHK,39.1411,-96.6717,680.0
159,Topeka Regional Airport,Topeka,Kansas,FOE,38.9508,-95.6636,2854.0
160,Wichita Dwight D. Eisenhower National Airport,Wichita,Kansas,ICT,37.65,-97.4331,3248.0
161,Cincinnati/Northern Kentucky International Airport,Cincinnati,Kentucky,CVG,39.0489,-84.6678,7700.0
162,Blue Grass Airport,Lexington,Kentucky,LEX,38.0364,-84.6058,911.0
163,Louisville International Airport,Louisville,Kentucky,SDF,38.1742,-85.7364,1500.0
164,Owensboro-Daviess County Regional Airport,Owensboro,Kentucky,OWB,37.7389,-87.1669,880.0
165,Barkley Regional Airport,Paducah,Kentucky,PAH,37.0603,-88.7731,1018.0
166,Alexandria International Airport,Alexandria,Louisiana,AEX,31.3275,-92.5486,3212.0
167,Baton Rouge Metropolitan Airport,Baton Rouge,Louisiana,BTR,30.5328,-91.15,1250.0
168,Lafayette Regional Airport,Lafayette,Louisiana,LFT,30.2167,-92.0333,746.0
169,Lake Charles Regional Airport,Lake Charles,Louisiana,LCH,30.1261,-93.2233,1878.0
170,Monroe Regional Airport,Monroe,Louisiana,MLU,32.5108,-92.0378,2384.0
